Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Asokanthan,Samuel F ",BTECH IIT Madras; Ph.D. Waterloo; ,Mechanical & Materials ,,Professor ,
"Assaf,Fatima ",BSN Western ,Nursing ,,Lecturer ,
"Assuras,John William ",MD at Western ,Oncology ,,Adjunct/MD ,
"Atance,Felix Roque ",BA Toronto; MA Nebraska; Ph.D. ; ,French Studies ,,Professor Emeritus ,
"Athanassakos,George ","BA Grad. School Industrial Studies of Thessaloniki, Greece; MA, MBA, Ph.D., York; ",Business - Associate Dean ,,Professor ,
"Athar,Humera ",MbChB U of Punjab Pakistan ,Psychiatry - Ext Camp Program/Schulich - Education Office ,,Adjunct/MD ,
"Athwal,George S ",FRCPCan BSc MD MD at UBC ,Surgery ,,Associate Professor/MD ,
"Atkinson,Burr G ",BA Ohio; Ph.D. Connecticut; ,Department of Biology ,,Professor Emeritus ,
"Atkinson,Gail Marie ","BS Carleton, Ph.D. Western ",Earth Sciences ,,Professor ,
"Atkinson,Michael L ","BSc Dalhousie; MS, Ph.D. Wisconsin; ",Psychology ,,Associate Professor ,
"Atkison,Paul Robert ",FRCPCan Ph.D. MD at CALGARY ; BSc MSc at WATERLOO ,Paediatrics ,,Associate Professor/MD ,
"Atoe,Dennis ",MD BSc at WISCONSIN ,Family Medicine - General ,,Adjunct/MD ,
"Audet,Peter ",BMUS British Columbia; MMUS Northwestern; ,Music - Performance Studies ,,Lecturer ,
"Auksi,Peter ","AM, Ph.D. Harvard; BA, MA Oxon; BA Toronto; ",English ,,Professor Emeritus ,
"Austin,Marion Beverly ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,
"Austin,Thomas W ",FRCPCan MD at Western ,Department of Medicine ,,Professor Emeritus ,
"Avery,Donald Howard ","BA, BEd, MA Manitoba; Ph.D. ",History ,,Adjunct Research Professor/Professor Emeritus ,
"Avison,William R ","BA, MA, Ph.D., Alberta ",Epidemiology and Biostatistics/Paediatrics ,Sociology ,Professor ,
"Avotins,Ivars ","BA Toronto; MA, Ph.D. Harvard; ",Classical Studies ,,Professor Emeritus ,
"Awad,Saad ",MD at ALEXANDRIA ,Pathology/Schulich - Education Office ,,Adjunct/MD ,
"Awde,Murray Gordon ",CCFP at Western ,Family Medicine - General ,,Adjunct/MD ,
"Awuku,Mark ",MBChB at GHANA ,Schulich - Education Office/Schulich - Windsor Campus/Paedi ,,Associate Professor/MD ,Academic Director/Course Coordinator 
"Ayim,Maryann ",BA Waterloo Lutheran; MA Toronto; Ph.D. Waterloo ,Education - Office of the Dean ,,Professor Emerita ,
"Aylen,Marielle ",BFA Ottawa; Ph.D. York ,Arts - Writing/Visual Arts ,,Assistant Professor ,
"Babanski,Alexander ",BFA Ottawa; Ph.D. York ,Computer Science ,,Assistant Professor ,
"Babcock,Mark Anthony ","BSc., Univ of Guelph; MHK, Univ of Windsor; Ph.D., Western ",School of Health Studies ,,Assistant Professor ,
"Babe,Robert E. ","BA, MA Western; Ph.D. Michigan State; ",Info & Media Studies - General ,,Professor ,
"Babenko-Mould,Yolanda Brenda ","BA, MSc (Nursing), Professional Designation Western ",Nursing ,,Assistant Professor ,
"Babwah,Andy V ",MSc at ILLINOIS STAT ; Ph.D. at MCGILL ; BSc at WEST INDIE ,Physiology and Pharmacology/Obstetrics & Gynaecology ,,Associate Professor ,
"Bacard,Hugo ",BS U of Guelph; Ph.D. Western ,Mathematics ,,Assistant Professor ,
"Bacchus,Rahman ",MBBS at WEST INDIES ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Bach,David B ",FRCPCan BSc BMus MDCM at MCGILL ; MFA at PRINCETON ,Diagnost Radiol & Nuclear Med/Department of Medical Imag ,,Professor Emeritus ,
"Bacheyie,Godfrey ",FRCPCan MBChB at GHANA ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,
"Baddour,Raouf E ",BSc Alexandria; FCSCE; Ph.D. McGill; PEng; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1995) ,Civil & Environmental ,,Professor ,
"Baerg,Theodore Paul ",BMUS Wilfrid Laurier; ,Music - Office of the Dean ,Otolaryngology ,Professor ,
"Bagatto,Marlene Patricia ",BA Western; M.CI.Sc. Western; Ph.D. Western ,Communicative Sci & Disorders/National Centre for Audiology ,,Adjunct Research Professor ,
"Bagga,Amit ",MD at Western ; BSc at WINDSOR ,Department of Medicine/Schulich - Education Office/Schulich ,,Adjunct/MD ,Course Coordinator 
"Bagga,Charan ","BA, MA Ontario ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Baguley,David ",BA Nottingham; DU Nancy; MA Leicester; ,French Studies ,,Adjunct Research Professor/Professor Emeritus ,
"Bahrami,Shirin ",Ph.D. Western ,Civil & Environmental ,,Lecturer ,
"Bai,Donglin ",Ph.D. at CAMBRIDGE ; BSc MSc at PEKING ,Physiology and Pharmacology ,,Associate Professor ,
"Baig,Mirza M ",MBBA U of Health Sciences PAK ,Department of Medicine ,,Assistant Professor/MD ,
"Bailey,Christopher ",FRCPCan BPhEd MD at MCMASTER ; MSc at UBC ,Surgery ,,Associate Professor/MD ,
"Bailey,Karen Ruth ","Bachelors, Masters CANADA ",Education - Continuing Educ ,,Lecturer ,
"Bailey,Kathryn ",BMUS Pacific; MMUS Indiana; ,Music - Office of the Dean ,,Professor Emerita ,
"Bailey,Kathryn A ",BSc at GUELPH ; MD at TORONTO ; MSc at UBC ,Family Medicine - General ,,Adjunct/MD ,
"Bailey,Robert Charles ","BA, Ph.D. U of Guelph ",Department of Biology ,Geography ,Adjunct Research Professor ,
"Bailey,Stewart Irving ","BA, MD; FRCSCan ",Surgery ,,Professor Emeritus ,
"Bailey,Terence ",BMUS Toronto; MFA Princeton; Ph.D. Washington; FRSC ; ,Music - Office of the Dean ,,Professor Emerita ,
"Bain,James A. ",MD; FRCPCan ,Anesthesia-Perioperative Med ,,Professor Emeritus ,
"Bainbridge,Daniel T ",MD FRCPCan at SASKATCHEWAN; at DUKE ; ,Anesthesia-Perioperative Med/Department of Medicine ,,Associate Professor/MD ,
"Baines,Kim M ",BSc St Mary's (Halifax); Ph.D. Toronto; ,Chemistry ,Mechanical & Materials ,Professor ,Centre Director 
